formatted_date,MCD,SBUX,GOOG,AMZN,MSFT,JPM,BAC,C,MAR,HLT,RCL,V,MA,PYPL
1/1/2016,,54.35396194,742.9500122,587,49.85348892,50.4249382,12.57301044,36.89780426,57.75418854,35.19284058,74.23529816,71.57437134,85.82262421,36.13999939
2/1/2016,100.6710434,52.06424332,697.7700195,552.5200195,46.04366684,48.0330658,11.13253975,33.70710754,64.22891235,41.06160736,67.36064911,69.55657959,83.95656586,38.13999939
3/1/2016,108.7822113,53.57144165,744.9500122,593.6400146,50.33903122,50.52432251,12.02171803,36.22321701,67.33662415,44.49988556,74.79000854,73.63147736,91.2781601,38.59999847
4/1/2016,109.4833069,50.45764542,693.0100098,659.5900269,45.45370483,53.91991043,12.99572945,40.15354538,66.3054657,43.71604919,70.4655838,74.36314392,93.68325806,39.18000031
5/1/2016,105.6489258,,735.7199707,722.789978,48.30651474,56.09822464,13.20101929,40.44788742,62.47415543,41.19815445,70.4564743,75.99984741,92.81732941,37.79000092
6/1/2016,104.1601791,51.43562317,692.0999756,715.6199951,46.9647789,53.40805817,11.84432411,36.81739426,63.15316772,44.81190109,61.4311409,71.53395844,85.22934723,36.50999832
7/1/2016,102.580368,52.27307129,768.789978,758.8099976,52.0219574,54.98090744,12.97712231,38.0507164,68.13241577,46.12463379,66.27062225,75.27605438,92.17852783,37.24000168
8/1/2016,100.8452682,50.63419342,767.0499878,769.1599731,52.73785782,58.46649551,14.45484734,41.6144104,67.78083801,47.47714996,65.05389404,78.02475739,93.72569275,37.15000153
9/1/2016,101.365387,48.92197037,777.289978,837.3099976,53.19585037,57.67826843,14.0812397,41.16985321,63.97988129,45.73887634,68.5668335,79.89920044,98.71118164,40.97000122
10/1/2016,98.91384125,47.95510101,784.539978,789.8200073,55.33847046,59.99094772,,42.8434906,65.56291962,45.08062363,70.79895782,79.7156601,103.8033981,41.65999985
11/1/2016,104.8010483,52.38282776,758.039978,750.5700073,55.65246582,69.94567108,19.00292587,49.15451813,75.18263245,50.00759125,74.57516479,74.70140839,99.31468201,39.27999878
12/1/2016,107.7855453,50.40135193,771.8200073,749.8699951,57.77640915,75.28514862,19.95846558,51.97577667,79.21261597,54.42261887,75.56064606,75.53634644,100.3350372,39.47000122
1/1/2017,108.5382233,50.12900925,796.789978,823.4799805,60.11016083,73.83686066,20.44613838,48.8273201,81.05207825,56.14418793,86.73071289,80.077034,103.3281021,39.77999878
2/1/2017,113.0366745,51.62689209,823.210022,845.039978,59.48719788,79.50040436,22.28845787,52.3081131,83.34185791,55.77366638,89.01869965,85.14054108,107.5639038,42
3/1/2017,115.6170654,53.24560928,829.5599976,886.539978,61.60642242,77.06150818,21.30407906,52.46663666,90.53902435,57.00224304,90.8806076,86.20470428,109.521225,43.02000046
4/1/2017,124.8229141,54.76847076,905.960022,924.9899902,64.03849792,76.32458496,21.14256096,51.85268021,90.7697525,57.65221024,99.23514557,88.48425293,113.2702866,47.72000122
5/1/2017,134.5996552,58.0057106,964.8599854,994.6199951,65.32939148,72.48383331,20.30011559,53.23986053,103.4882736,64.98461914,102.5678177,92.37398529,119.8936081,52.20999908
6/1/2017,136.6245728,53.39168549,908.7299805,968,64.8477478,80.64542389,22.04811287,58.81535339,96.73903656,60.61371231,102.1273727,91.1288681,118.4983673,53.66999817
7/1/2017,139.2583313,49.42691422,930.5,987.7800293,68.39447021,80.99836731,21.92088318,60.19602585,100.4809113,61.28012466,105.7176819,96.7454834,124.6940231,58.54999924
8/1/2017,143.5939026,50.23269272,939.3300171,980.5999756,70.34186554,80.63653564,21.7118454,59.82669449,99.8926239,63.04413986,116.3670425,100.5935364,130.2977448,61.68000031
9/1/2017,141.4750977,49.40169525,959.1099854,961.3499756,70.45183563,84.73537445,23.14744759,64.26498413,106.6901703,68.2263031,110.8319855,102.4296036,138.0197754,64.02999878
10/1/2017,150.712326,50.44105911,1016.640015,1105.280029,78.67073822,89.26004028,25.02006531,64.93643188,115.6116486,71.00644684,116.3259964,107.0430069,145.4192505,72.55999756
11/1/2017,155.2812805,53.18201447,1021.409973,1176.75,79.60704803,93.27097321,25.73257828,66.70340729,122.8881836,76.19341278,116.4293747,109.5832977,147.309082,75.73000336
12/1/2017,156.3432312,53.10313416,1046.400024,1169.469971,81.30910492,95.43051147,27.08068085,66.02308655,131.6806793,78.6135788,112.1060333,111.1717606,148.1803741,73.62000275
1/1/2018,155.4530792,52.52985382,1169.939941,1450.890015,90.31069946,103.2209473,29.35575676,69.63435364,142.9442902,84.31320953,126.115715,121.1267242,165.4497986,85.31999969
2/1/2018,143.281311,52.79799271,1104.72998,1512.449951,89.13201904,103.6061554,29.44748688,66.98135376,136.9971924,79.52906799,119.5526047,119.8689423,172.3386993,79.41000366
3/1/2018,142.9446259,53.81881714,1031.790039,1447.339966,87.16320801,98.64564514,27.51184654,60.13489532,,77.53075409,111.1858215,116.8349075,171.7503967,75.87000275
4/1/2018,153.0544281,53.52132416,1017.330017,1566.130005,89.31197357,97.57816315,27.55062103,60.82087326,132.9112701,77.75386047,102.6750565,123.9258881,174.7998505,74.61000061
5/1/2018,146.2627716,52.68460846,1084.98999,1629.619995,94.39259338,96.47719574,26.74030685,59.4132843,131.6276855,79.59812164,99.62867737,127.676506,186.6846466,82.06999969
6/1/2018,143.2280121,45.6520462,1115.650024,1699.800049,94.58113098,93.94378662,26.06367683,59.90031052,123.4696732,78.2110672,98.31903076,129.5740662,192.9690247,83.26999664
7/1/2018,144.9197235,48.96030426,1217.26001,1777.439941,101.7459412,103.6356812,28.55076981,64.34896851,124.6790085,77.71705627,107.6272278,133.7709503,194.422287,82.13999939
8/1/2018,149.2340393,49.95090485,1218.189941,2012.709961,107.7405701,103.863472,28.59700394,63.76716232,123.3428879,76.68952179,117.0002213,143.7005615,211.931427,92.33000183
9/1/2018,154.8493652,53.48879242,1193.469971,2003,110.1193771,102.2862167,27.23788261,64.61947632,129.1885986,79.96765137,124.0252075,147.0517731,218.8627167,87.83999634
10/1/2018,163.7446747,54.83448029,1076.77002,1598.01001,102.8403473,98.82350159,25.54862976,58.96279907,114.3744354,70.4542923,100.4987717,135.0595398,194.3425446,84.19000244
11/1/2018,174.491272,62.78627777,1094.430054,1690.170044,106.7687073,101.4963684,,58.35930634,112.5544586,74.78035736,108.5018387,138.8414154,197.9142456,85.80999756
12/1/2018,165.3785095,60.92845154,1035.609985,1501.969971,98.21755981,89.10939789,22.89156914,47.21556854,106.5988541,71.22437286,93.8391571,129.5012817,185.6891479,84.08999634
1/1/2019,166.5054169,64.46684265,1116.369995,1718.72998,100.9831619,94.47676849,26.5976162,58.461689,112.4610138,73.88288116,115.9694366,132.5145416,207.8163147,88.76000214
